PWSID,Water System Name,Groundwater,Surface Water,Purchased,Total,Count of Source Types,Presence of Interties,Number of Interties,Risk Score,Percent Rank (rank of a score as a percentage),Percent In Basin,
CA5100145,WINSHIP ELEMENTARY SCHOOL,2,0,0,2,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5200545,MODERN VILLAGE MWC,1,0,0,1,1,N,None,56.45,55.30%,100.00%,
CA2300717,CREEKSIDE CABINS & RV RESORT,1,0,0,1,1,N,None,87.01,99.30%,0.00%,
CA1010051,FCWWD #18/FRIANT,0,1,0,1,1,N,None,51.33,40.60%,100.00%,
CA3100058,DUTCH FLAT MUTUAL,0,1,0,1,1,N,None,59.14,63.30%,0.00%,
CA1502659,OWENS PEAK SOUTH,1,0,0,1,1,N,None,57.03,57.50%,100.00%,
CA2700682,PARADISE RD WS #09,1,0,0,1,1,N,None,71.81,90.50%,100.00%,
CA2701570,LOS CARNEROS MWA,1,0,0,1,1,N,None,78.00,96.70%,100.00%,
CA2702055,VIERRA KNOLLS MWC,1,0,0,1,1,N,None,71.51,90.10%,100.00%,
CA1500152,MIRASOL COMPANY WATER SYSTEM,1,0,0,1,1,N,None,71.76,90.40%,100.00%,
CA3400172,TOKAY PARK WATER CO,1,0,0,1,1,N,None,78.88,97.20%,100.00%,
CA3900835,WAYSIDE MOTEL APARTMENTS WTR SYS,1,0,0,1,1,N,None,71.73,90.30%,100.00%,
CA2010004,MADERA CO CMD19-PARKWOOD,1,0,0,1,1,N,None,77.22,96.30%,100.00%,
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,0,2,0,2,1,N,None,50.17,37.30%,100.00%,
CA3100041,ALPINE MEADOWS PROPERTY OWNERS ASSO,0,1,0,1,1,N,None,60.89,68.00%,0.00%,
CA1500407,CWS-SPLIT MOUNTAIN WATER SYSTEM,3,0,0,3,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA0400078,FOREST KNOLLS MUTUAL WATER CO,1,0,0,1,1,N,None,70.03,87.80%,0.00%,
CA4000202,EDNA VALLEY RANCH EAST,2,0,0,2,1,N,None,43.94,22.50%,44.69%,
CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,2,0,1,3,2,Y,1,49.92,36.60%,0.00%,
CA1700595,CAL 20 VILLAGE AND MEADOW POINTE PARK,2,0,0,2,1,N,None,36.28,8.80%,0.00%,
CA4700549,LAKE SISKIYOU M.W.C.,3,0,0,3,1,N,None,42.28,19.30%,0.00%,
CA2300606,LAKE VIEW MUTUAL WATER CO.,3,0,0,3,1,N,None,38.07,11.30%,0.00%,
CA2700837,BLACKIE RD WS #05,1,0,0,1,1,N,None,51.05,39.80%,100.00%,
CA2702094,BLACKIE RD WS #18,1,0,0,1,1,N,None,53.66,47.60%,100.00%,
CA1503509,THE ANNE SIPPI CLINIC-RIVERSIDE RANCH,1,0,0,1,1,N,None,56.19,54.50%,100.00%,
CA1710005,LUCERNE WATER CO. - CAL WATER SERVICE,0,1,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,3,2,1,6,3,Y,1,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1900062,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,0,0,0,0,0,N,None,83.35,98.30%,10.14%,
CA4900513,MADRONE MUTUAL WATER COMPANY,2,0,0,2,1,N,None,52.01,42.40%,0.00%,
CA0707615,DOUBLETREE RANCH WATER SYSTEM,2,0,0,2,1,N,None,48.90,33.50%,0.00%,
CA3600270,GOLDEN STATE WATER MORONGO DELNORTE,3,0,0,3,1,N,None,47.42,29.90%,0.00%,
CA3301588,ROYAL CARRIZO HOA,2,0,0,2,1,N,None,55.76,53.50%,0.00%,
CA3601010,CRYSTAL LAKE PROPERTY OWNERS,2,0,0,2,1,N,None,48.14,31.50%,0.00%,
CA3600022,BAKER COMMUNITY SERVICES DISTRICT,6,0,0,6,1,N,None,45.81,26.20%,0.00%,
CA3700071,HEAVENLY OAKS,2,0,0,2,1,N,None,57.90,59.90%,0.00%,
CA5400754,SOUTH KAWEAH MUTUAL WATER COMPANY,3,0,0,3,1,N,None,52.38,43.70%,0.00%,
CA3700958,LOS TULES MUTUAL WATER COMPANY,2,0,0,2,1,N,None,46.25,27.00%,0.00%,
CA0707507,WILLOW PARK MARINA,2,0,0,2,1,N,None,37.98,11.20%,0.00%,
CA1909006,WEST VALLEY COUNTY WATER DISTRICT,2,0,0,2,1,N,None,46.55,27.80%,0.00%,
CA4600019,SIERRA CO. W.W.D #1 CALPINE,2,0,0,2,1,N,None,49.74,36.10%,0.00%,
CA0707573,DELTA MUTUAL WATER COMPANY,2,0,0,2,1,N,None,56.83,56.90%,0.00%,
CA3310078,WEST PALM SPRINGS VILLAGE,2,0,0,2,1,N,None,41.39,17.60%,0.00%,
CA2700606,HIDDEN VIEWS MHP WS,2,0,0,2,1,N,None,55.66,53.40%,0.00%,
CA2210903,FISHCAMP MUTUAL WATER COMPANY,4,0,0,4,1,N,None,53.04,45.90%,0.00%,
CA3700291,OCOTILLO OASIS MOBILE HOME PARK,3,0,0,3,1,N,None,43.72,22.00%,0.00%,
CA3700962,OAKVALE PARK,3,0,0,3,1,N,None,61.42,69.30%,0.00%,
CA1510056,CWS - LOWER BODFISH WATER SYSTEM,3,0,0,3,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5400536,KINGS RIVER ESTATES MUTUAL WATER COMPANY,2,0,0,2,1,N,None,46.82,28.40%,100.00%,
CA3110044,TAHOE CITY PUD - ALPINE PEAKS,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1000041,FCWWD #38/SKY HARBOUR,1,0,0,1,1,N,None,62.13,71.20%,0.00%,
CA3901215,SAN JUAN VISTA,1,0,0,1,1,N,None,67.78,83.40%,100.00%,
CA0400081,FEATHER RIDGE ESTATES WATER CO,2,0,0,2,1,N,None,74.68,94.60%,0.00%,
CA3400106,EAST WALNUT GROVE [SWS],2,0,0,2,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA1300560,PINE UNION SCHOOL,0,1,0,1,1,N,None,49.30,34.80%,0.00%,
CA4900680,HORICON SCHOOL,0,1,0,1,1,N,None,63.33,74.00%,0.00%,
CA5800814,BULLARD'S BAR REC FAC WTR SYS,0,1,0,1,1,N,None,63.25,73.80%,0.00%,
CA1210800,CAL FIRE-EEL RIVER CONSERVATION CAMP,0,1,0,1,1,N,None,59.52,64.30%,0.00%,
CA3601182,HIGH DESERT DETENTION CENTER,1,0,1,2,2,Y,1,29.60,5.40%,0.00%,
CA0800649,MARGARET KEATING MAIN. & OPER.,1,0,0,1,1,N,None,59.64,64.80%,0.00%,
CA4700591,DELPHIC ELEMENTARY SCHOOL,1,0,0,1,1,N,None,54.49,50.00%,0.00%,
CA1000105,MADISON ELEMENTARY SCHOOL,1,0,0,1,1,N,None,63.39,74.30%,100.00%,
CA1000185,GREAT WESTERN ELEMENTARY SCHOOL,1,0,0,1,1,N,None,58.35,61.20%,100.00%,
CA2400064,MERQUIN ELEMENTARY SCHOOL,1,0,0,1,1,N,None,59.02,63.10%,100.00%,
CA2400344,GRACE BISHOP SCHOOL,1,0,0,1,1,N,None,57.43,58.60%,100.00%,
CA4400757,ALIANZA CHARTER (PREV. SALSIPUEDES),1,0,0,1,1,N,None,60.50,67.30%,100.00%,
CA4400758,RENAISSANCE HIGH SCHOOL,1,0,0,1,1,N,None,54.05,48.70%,100.00%,
CA4810801,DELTA CONSERVATION CAMP,1,0,0,1,1,N,None,59.20,63.60%,100.00%,
CA4900945,PRESENTATION SCHOOL,1,0,0,1,1,N,None,58.44,61.40%,100.00%,
CA5000155,ROBERTS FERRY SCHOOL CAFETERIA,1,0,0,1,1,N,None,59.24,63.70%,100.00%,
CA5000404,WOOD COLONY CHRISTIAN SCHOOL,1,0,0,1,1,N,None,53.10,46.20%,100.00%,
CA0400079,FOREST RANCH CHARTER SCHOOL,1,0,0,1,1,N,None,74.26,94.40%,0.00%,
CA0707620,CANYON SCHOOL,1,0,0,1,1,N,None,87.04,99.40%,0.00%,
CA0900304,SILVERFORK SCHOOL (HEALTH),1,0,0,1,1,N,None,86.18,99.10%,0.00%,
CA1000111,PINE RIDGE SCHOOL,1,0,0,1,1,N,None,79.39,97.20%,0.00%,
CA1200817,KNEELAND SCHOOL,1,0,0,1,1,N,None,87.78,99.50%,0.00%,
CA3500511,CASA DE FRUTA ORCHARDS,1,0,0,1,1,N,None,72.71,91.90%,0.00%,
CA5200559,ABBEY OF NEW CLAIRVAUX,1,0,0,1,1,N,None,72.24,91.10%,0.00%,
CA5400505,HARTLAND CHRISTIAN CAMP,1,0,0,1,1,N,None,74.19,94.40%,0.00%,
CA5500115,SUGAR PINE RV RESORT,1,0,0,1,1,N,None,89.73,99.60%,0.00%,
CA2400066,PLANADA ELEMENTARYSCHOOL,1,0,0,1,1,N,None,63.12,73.40%,100.00%,
CA2400219,MERCED NEW LIFE SCHOOL,1,0,0,1,1,N,None,57.42,58.60%,100.00%,
CA2700577,ELKHORN SCHOOL WS,1,0,0,1,1,N,None,57.04,57.60%,100.00%,
CA2702490,CENTRAL BAY HIGH SCHOOL WS,1,0,0,1,1,N,None,59.76,65.20%,100.00%,
CA5000132,VALLEY HOME SCHOOL TEXAS,1,0,0,1,1,N,None,60.31,66.80%,100.00%,
CA5000277,VALLEY HOME SCHOOL PIONEER,1,0,0,1,1,N,None,60.99,68.20%,100.00%,
CA5000568,GREGORI HIGH SCHOOL,1,0,0,1,1,N,None,60.21,66.30%,100.00%,
CA5000584,MESA ELEMENTARY SCHOOL,1,0,0,1,1,N,None,60.84,68.00%,100.00%,
CA0202501,DIAMOND VALLEY SCHOOL,1,0,0,1,1,N,None,76.80,96.10%,0.00%,
CA1000198,TERRY SCHOOL,1,0,0,1,1,N,None,58.26,60.90%,100.00%,
CA1000184,DUNLAP K-8 SCHOOL,1,0,0,1,1,N,None,68.04,84.20%,0.00%,
CA1000192,MONROE SCHOOL,1,0,0,1,1,N,None,58.36,61.30%,100.00%,
CA5700510,DELTA HIGH SCHOOL,1,0,0,1,1,N,None,60.71,67.70%,100.00%,
CA2702325,FERNWOOD WS,1,0,0,1,1,N,None,82.37,98.00%,0.00%,
CA3500507,BITTERWATER-TULLY SCHOOL WS,1,0,0,1,1,N,None,82.68,98.10%,0.00%,
CA3701934,PINE VALLEY BIBLE CONFERENCE CENTER,1,0,0,1,1,N,None,72.80,92.20%,0.00%,
CA2700705,PRUNEDALE SCHOOL WS,1,0,0,1,1,N,None,59.77,65.30%,100.00%,
CA2010800,CENTRAL CA WOMENS FACILITY,2,0,0,2,1,N,None,48.77,33.00%,100.00%,
CA2210909,MUSD - MARIPOSA JUNIOR HIGH SCHOOL,2,0,0,2,1,N,None,51.03,39.70%,0.00%,
CA2900523,WASHINGTON WATER DISTRICT,0,1,0,1,1,N,None,62.89,73.10%,0.00%,
CA5500116,PEPPERMINT CREEK MHP,0,1,0,1,1,N,None,55.32,52.10%,0.00%,
CA1700527,MOUNTAIN OF ATTENTION WATER,1,0,0,1,1,N,None,73.76,93.90%,0.00%,
CA3310801,BAUTISTA CC NO. 36,1,0,0,1,1,N,None,62.05,70.80%,100.00%,
CA2000608,WILDWOOD MOBILE HOME PK INC,1,0,0,1,1,N,None,59.18,63.50%,100.00%,
CA2000527,YOSEMITE FORKS EST MUTUAL,4,0,0,4,1,N,None,66.07,79.70%,0.00%,
CA5400767,DEL ORO EAST PLANO DISTRICT,1,0,0,1,1,N,None,48.84,33.30%,100.00%,
CA1710001,CLEARLAKE OAKS COUNTY WATER DISTRICT,0,1,0,1,1,N,None,48.38,32.00%,0.00%,
CA2310009,BROOKTRAILS TOWNSHIP CSD,0,1,0,1,1,N,None,71.70,90.30%,0.00%,
CA1610002,"AVENAL, CITY OF",0,1,0,1,1,N,None,59.25,63.70%,0.00%,
CA2000851,MD 40 SUNSET RIDGE ESTATES,3,0,0,3,1,N,None,55.32,52.00%,0.00%,
CA5400604,MOUNTAIN VIEW DUPLEXES,1,0,0,1,1,N,None,64.24,76.20%,100.00%,
CA0910017,EL DORADO ID - STRAWBERRY,0,1,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5410011,SPRINGVILLE PUD,0,1,0,1,1,N,None,56.45,55.30%,0.00%,
CA2810014,SPANISH FLAT WATER DISTRICT,0,1,0,1,1,N,None,58.71,62.30%,0.00%,
CA5304501,SALYER MUTUAL WC (FORMERLY RIVERVIEW AC),0,1,0,1,1,N,None,54.69,50.40%,0.00%,
CA5304502,"SALYER HEIGHTS W.S., INC",0,1,0,1,1,N,None,60.42,67.10%,0.00%,
CA4500317,"SHASTA CSA - FRENCH GULCH, #11",0,1,0,1,1,N,None,56.30,54.90%,0.00%,
CA2300663,BRANSCOMB MOBILE HOME PARK,0,1,0,1,1,N,None,52.44,43.90%,0.00%,
CA1700657,WINDFLOWER POINT MUTUAL WATER COMPANY,1,0,0,1,1,N,None,76.24,95.70%,0.00%,
CA4710007,"MONTAGUE, CITY OF",0,2,0,2,1,N,None,50.87,39.30%,0.00%,
CA2300514,ELK COUNTY WATER DISTRICT,1,0,0,1,1,N,None,56.95,57.20%,0.00%,
CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,1,0,0,1,1,N,None,59.35,63.80%,99.07%,
CA0400036,MOUNTAIN VIEW MOBILE ACRES MHP LLC,1,0,0,1,1,N,None,56.50,55.60%,100.00%,
CA4301004,EMERALD VALLEY MUTUAL WATER COMPANY,2,0,0,2,1,N,None,58.69,62.10%,99.66%,
CA5201140,ANTOINETTE MUTUAL WATER CO,1,0,0,1,1,N,None,57.34,58.30%,100.00%,
CA4400664,JARDINES DEL VALLE,1,0,0,1,1,N,None,58.85,62.80%,100.00%,
CA3100069,AUBURN RIDGE WOODS,1,0,0,1,1,N,None,73.31,93.30%,0.00%,
CA1502056,CLARK STREET COMMUNITY WELL,1,0,0,1,1,N,None,61.73,70.10%,0.00%,
CA1500518,AGBAYANI VILLAGE WATER SYSTEM,1,0,0,1,1,N,None,62.97,73.20%,100.00%,
CA2000595,COUNTRY LIVING MHP,1,0,0,1,1,N,None,64.31,76.50%,100.00%,
CA1000430,DYCORA TRANSITIONAL LIVING,1,0,0,1,1,N,None,66.06,79.60%,100.00%,
CA1700580,TWIN CREEKS MOBILE AND RV VILLAGE,1,0,0,1,1,N,None,56.21,54.70%,0.00%,
CA4400631,LAS CUMBRES MUTUAL WATER CO,7,0,0,7,1,N,None,47.07,29.10%,0.00%,
CA3900927,SPRING CREEK ESTATES PWS,1,0,0,1,1,N,None,66.37,80.20%,100.00%,
CA4901221,GRATON MUTUAL (GREEN VALLEY HOA),1,0,0,1,1,N,None,58.18,60.80%,0.00%,
CA1510049,CWS - LAKELAND,4,0,0,4,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA4400692,ALLAN LANE WATER ASSOCIATION,1,0,0,1,1,N,None,63.39,74.20%,100.00%,
CA1502564,SIERRA MEADOWS,1,0,0,1,1,N,None,70.72,89.10%,0.00%,
CA3200127,ARLINGTON HEIGHTS MHP,1,0,0,1,1,N,None,69.34,86.50%,0.00%,
CA3100023,AUBURN MOBILE HOME VILLAGE,1,0,0,1,1,N,None,69.02,86.00%,0.00%,
CA3100043,GOLD HILL MOBILEHOME PARK,1,0,0,1,1,N,None,70.07,88.00%,0.00%,
CA4700546,CAL ORE MOBILE ESTATES,1,0,0,1,1,N,None,66.17,79.90%,0.00%,
CA1502645,MEADOWS OF THE KERN MUTUAL WATER COMPANY,4,0,0,4,1,N,None,45.31,25.00%,100.00%,
CA1503475,WESTERN ACRES MUTUAL WATER COMPANY,3,0,0,3,1,N,None,47.19,29.30%,100.00%,
CA2700713,ROLLING HILLS RANCHO WA,3,0,0,3,1,N,None,35.97,8.60%,79.48%,
CA3901337,MORADA ESTATES N PWS #46,3,0,0,3,1,N,None,38.80,12.70%,100.00%,
CA2701068,IVERSON & JACKS APTS WS,2,0,0,2,1,N,None,52.77,44.90%,100.00%,
CA3900602,TAHAMA VILLAGE MOBILE HOME PARK,2,0,0,2,1,N,None,47.99,31.10%,100.00%,
CA1502622,GOSFORD ROAD WATER COMPANY,2,0,0,2,1,N,None,39.85,14.80%,100.00%,
CA2700838,SPRING CANYON WA,2,0,0,2,1,N,None,43.59,21.90%,99.95%,
CA2701731,BRANDON CREEK MWS,1,1,0,2,2,N,None,37.74,11.00%,0.00%,
CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,3,0,0,3,1,N,None,65.35,78.20%,0.00%,
CA4000506,WOODLAND PARK MUTUAL WATER CO,2,0,0,2,1,N,None,47.10,29.20%,0.00%,
CA1400098,DARWIN COMMUNITY SERVICE DISTRICT,1,0,0,1,1,N,None,48.07,31.30%,0.00%,
CA3110050,PLACER CWA - APPLEGATE,0,1,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1510042,MOUNTAIN MESA WC,2,0,1,3,2,Y,1,23.48,3.10%,0.00%,
CA3200078,FRCCSD OLD MILL RANCH,1,0,0,1,1,N,None,77.68,96.60%,0.00%,
CA5400744,EAST THREE RIVERS MUTUAL WATER CORP,1,0,0,1,1,N,None,75.58,95.20%,0.00%,
CA3400155,SEQUOIA WATER ASSOC,1,0,0,1,1,N,None,53.66,47.50%,100.00%,
CA4900637,MAGIC MOUNTAIN MUTUAL WATER COMPANY,1,0,0,1,1,N,None,74.94,94.90%,0.00%,
CA1510026,CWS - UPPER BODFISH WATER SYSTEM,2,0,0,2,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3410032,FOLSOM STATE PRISON,0,1,0,1,1,N,None,52.60,44.10%,0.00%,
CA5510007,DEL ORO WATER COMPANY - STRAWBERRY DIV.,0,2,0,2,1,N,None,45.09,24.60%,0.00%,
CA1710014,MT. KONOCTI MUTUAL WATER COMPANY,0,1,0,1,1,N,None,54.32,49.40%,0.00%,
CA5304102,TRINITY VILLAGE MUTUAL WATER,0,2,0,2,1,N,None,43.95,22.60%,0.00%,
CA2000549,MD 05 MOUNTAIN RANCHES,2,0,0,2,1,N,None,48.84,33.30%,0.00%,
CA5403113,SOUTH FORK ESTATES MUTUAL WATER CO,3,0,0,3,1,N,None,52.26,43.20%,0.00%,
CA1900903,SLEEPY VALLEY WATER COMPANY,3,0,0,3,1,N,None,63.59,74.70%,0.00%,
CA2010009,BAKMAN WATER-ROLLING HILLS,3,0,0,3,1,N,None,63.99,75.50%,100.00%,
CA3400192,TUNNEL TRAILER PARK,1,0,0,1,1,N,None,64.20,76.10%,100.00%,
CA5800828,COUNTRYSIDE MOBILE HOME PARK,1,0,0,1,1,N,None,65.24,77.90%,100.00%,
CA1300626,SUNBEAM LAKE RV RESORT,0,0,1,1,1,Y,1,DWR Not Assessed,DWR Not Assessed,0.00%,
CA0800800,PINE GROVE TRAILER PARK,1,0,0,1,1,N,None,67.75,83.20%,0.00%,
CA2810001,HOWELL MOUNTAIN MUTUAL WATER COMPANY,2,1,0,3,2,N,None,39.13,13.30%,0.00%,
CA5602111,NYELAND ACRES MUTUAL WATER CO,1,0,0,1,1,N,None,48.97,33.70%,100.00%,
CA1900843,CALIFORNIAN MOBILE HOME PARK,1,0,0,1,1,N,None,72.99,92.70%,0.00%,
CA1200587,BRICELAND C.S.D.,0,1,0,1,1,N,None,57.61,59.10%,0.00%,
CA5301010,BUD FINE MWC,0,1,0,1,1,N,None,61.38,69.20%,0.00%,
CA1200501,ALDERPOINT COUNTY WATER,0,1,0,1,1,N,None,79.99,97.40%,0.00%,
CA4610002,DOWNIEVILLE PUBLIC U.D.,0,1,0,1,1,N,None,72.93,92.60%,0.00%,
CA5500080,TWAIN HARTE VALLEY MWC,0,1,0,1,1,N,None,77.52,96.50%,0.00%,
CA4710012,HAPPY CAMP C.S.D.,0,1,0,1,1,N,None,50.83,39.30%,0.00%,
CA1502260,SOUTH FORK ELEMENTARY SCHOOL WATER SYS,1,0,0,1,1,N,None,61.05,68.30%,0.00%,
CA1503368,SOUTH FORK MIDDLE SCHOOL,1,0,0,1,1,N,None,63.50,74.60%,0.00%,
CA1710800,CDF-KONOCTI CONSERVATION CAMP NO. 27,1,0,0,1,1,N,None,75.97,95.50%,0.00%,
CA1000075,TRACT 1199 WATER SYSTEM,1,0,0,1,1,N,None,61.08,68.40%,100.00%,
CA5700554,CAMPERS INN - RV & GOLF COURSE,1,0,0,1,1,N,None,62.40,72.00%,100.00%,
CA2700541,DEL MONTE FARMS RD WS #03,1,0,0,1,1,N,None,73.38,93.40%,100.00%,
CA5200007,HOWELL'S LAKESIDE WATER CO.,1,0,0,1,1,N,None,77.68,96.60%,100.00%,
CA2400201,VOLTA COMMUNITY SD,1,0,0,1,1,N,None,85.97,99.10%,100.00%,
CA0400040,ALMOND GROVE MOBILE PARK,1,0,0,1,1,N,None,72.83,92.30%,100.00%,
CA1000200,RUBYS VALLEY CARE HOME,1,0,0,1,1,N,None,74.17,94.30%,100.00%,
CA2700522,CABANA HOLIDAY WS,1,0,0,1,1,N,None,72.31,91.40%,100.00%,
CA4300581,VELLADAO MOBILE HOME PARK,1,0,0,1,1,N,None,71.86,90.60%,100.00%,
CA5800832,CASTLEWOOD MOBILE HOME PARK,1,0,0,1,1,N,None,73.08,92.90%,100.00%,
CA3400401,PLANTATION MOBILE HOME PARK,1,0,0,1,1,N,None,72.55,91.70%,100.00%,
CA3301247,ELMS MOBILE PARK,1,0,0,1,1,N,None,72.74,92.10%,100.00%,
CA4200747,VISTA DE LAS CRUCES,3,0,0,3,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1900886,HUGHES-ELIZABETH LAKE UNIFIED SCHOOL DIS,2,0,0,2,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA4400665,MEADOWRIDGE MUTUAL WATER CO,2,0,0,2,1,N,None,51.45,41.00%,100.00%,
CA1503536,GLENNVILLE MUTUAL WATER COMPANY,1,0,0,1,1,N,None,64.25,76.20%,0.00%,
CA5710004,KNIGHTS LANDING SVC. DIST.,3,0,0,3,1,N,None,45.77,26.00%,100.00%,
CA2702439,WOODLAND HEIGHTS MWC,2,0,0,2,1,N,None,52.98,45.50%,100.00%,
CA5610035,RIO MANOR MUTUAL WATER CO,2,0,0,2,1,N,None,40.00,15.10%,100.00%,
CA3900724,ELKHORN ESTATES WATER SYSTEM,2,0,0,2,1,N,None,39.19,13.50%,100.00%,
CA5400968,IMPROVEMENT DISTRICT NO. 1,2,1,0,3,2,N,None,39.17,13.40%,0.00%,
CA3600123,HI DESERT MWC,2,0,0,2,1,N,None,36.38,9.00%,0.00%,
CA3700866,DEL DIOS MUTUAL WATER COMPANY,3,0,0,3,1,N,None,48.44,32.20%,0.00%,
CA5410503,NPS-WOLVERTON,1,2,0,3,2,N,None,43.99,22.80%,0.00%,
CA3500505,THOUSAND TRAILS SAN BENITO PRESERVE,2,0,0,2,1,N,None,54.47,49.90%,0.00%,
CA3100038,HEATHER GLEN COMMUNITY SERVICE DIST,0,1,0,1,1,N,None,59.97,65.80%,0.00%,
CA5200657,NORCAL WATER WORKS,1,0,0,1,1,N,None,54.95,50.90%,0.00%,
CA1502750,RIVERVIEW HOMEOWNERS ASSOCIATION,1,0,0,1,1,N,None,60.35,67.00%,100.00%,
CA2000554,MD 33 FAIRMEAD,2,0,0,2,1,N,None,62.00,70.60%,100.00%,
CA3200195,GREENHAVEN HOA,1,0,0,1,1,N,None,79.96,97.40%,0.00%,
CA2700663,MURPHY HILL WS #02,1,0,0,1,1,N,None,47.32,29.70%,100.00%,
CA2702374,COUNTRYSIDE ESTATES MWC,1,0,0,1,1,N,None,54.98,51.00%,100.00%,
CA0707585,MORAGA HEIGHTS MUTUAL WATER,1,0,0,1,1,N,None,72.67,91.90%,0.00%,
CA4700686,SUN MOUNTAIN M.W.C.,1,0,0,1,1,N,None,71.48,90.10%,0.00%,
CA2700548,DOLAN RD MWC,1,0,0,1,1,N,None,46.34,27.30%,100.00%,
CA3900606,A1 WINSTONS MOBILE HOME PARK,1,0,0,1,1,N,None,54.50,50.00%,100.00%,
CA2900541,CHRISTIAN ENCOUNTER MINISTRIES,1,0,0,1,1,N,None,76.67,95.90%,0.00%,
CA2701687,VALLEY OAKS MHP WS,1,0,0,1,1,N,None,75.79,95.40%,0.00%,
CA2702608,THIMIO MWC,2,0,0,2,1,N,None,48.33,32.00%,100.00%,
CA3600297,GORDON ACRES WATER CO,2,0,0,2,1,N,None,38.85,12.80%,0.00%,
CA1000040,FCWWD #37/MILE HIGH,2,0,0,2,1,N,None,54.38,49.60%,0.00%,
CA2310011,LAYTONVILLE COUNTY WATER DISTRICT,2,0,0,2,1,N,None,43.74,22.00%,0.00%,
CA3700936,RANCHO ESTATES MUTUAL WATER CO.,4,0,1,5,2,Y,1,23.71,3.20%,0.00%,
CA5510021,TUD-PEACEFUL PINES WATER SYSTEM,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3110012,AGATE BAY WATER COMPANY,1,1,0,2,2,N,None,38.61,12.20%,0.00%,
CA3701408,YUIMA MUNICIPAL WATER DISTRICT,3,0,1,4,2,Y,1,21.88,2.50%,0.00%,
CA4500082,MIDWAY MOBILEHOME PARK,1,0,0,1,1,N,None,57.34,58.30%,0.00%,
CA2300731,"CITY OF 10,000 BUDDHAS",1,0,0,1,1,N,None,57.06,57.80%,0.00%,
CA5403217,OKIEVILLE HIGHLAND ACRES MWC,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5400819,MOUNTAIN VIEW MHP,1,0,0,1,1,N,None,66.89,81.00%,100.00%,
CA1500216,OPAL FRY AND SON,1,0,0,1,1,N,None,70.06,88.00%,100.00%,
CA1009020,FIVE POINTS RANCH,1,0,0,1,1,N,None,71.28,89.70%,100.00%,
CA4300994,COYOTE VALLEY RV RESORT,1,0,0,1,1,N,None,67.49,82.40%,100.00%,
CA5010031,CITY OF MODESTO - WALNUT MANOR,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA1000405,PIEDRA PARK ASSOCIATION,1,0,0,1,1,N,None,67.45,82.30%,100.00%,
CA4710008,"MT. SHASTA, CITY OF",3,0,0,3,1,N,None,46.93,28.80%,0.00%,
CA1500449,FOURTH STREET WATER SYSTEM,3,0,0,3,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5010023,CITY OF MODESTO - SOUTH TURLOCK,2,0,0,2,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA3410012,CALAM - ISLETON,4,0,0,4,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA3410047,CALAM - WALNUT GROVE,2,0,0,2,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA2702405,JENSEN MHP WS,2,0,0,2,1,N,None,64.93,77.30%,0.00%,
CA5500242,SIERRA WALDORF SCHOOL,1,0,0,1,1,N,None,67.02,81.40%,0.00%,
CA5500152,CURTIS CREEK ELEMENTARY SCHOOL,1,0,0,1,1,N,None,69.67,87.00%,0.00%,
CA1100104,WILLOW CREEK CHRISTIAN SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1100448,PLAZA ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1100527,CAPAY JOINT UNION ELEM. SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1100749,RIVER VALLEY CHRISTIAN SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
