PWSID,Water System Name,Total Number of Water Sources ,Absence of Interties,Source Capacity Violations Count,Service Connection Moratoriums Count,Division of Financial Assistance - Interim Solution Data Spreadsheet,Division of Drinking Water - Drought Report,"SDWIS -
Hauled Water Data",Risk Score,"Percent Rank
(rank of a score as a percentage)",Percentage of sources within a COD Basin
CA1910077,GSWC - FLORENCE/GRAHAM,11,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910079,"LYNWOOD-CITY, WATER DEPT.",10,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,3,Y,0,0,N,N,N,52.34,43.70%,0.00%
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",5,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910084,MAYWOOD MUTUAL WATER CO. #1,5,N,0,0,N,N,N,13.09,0.40%,0.00%
CA1910085,MAYWOOD MUTUAL WATER CO. #2,5,N,0,0,N,N,N,11.68,0.40%,0.00%
CA1910086,MAYWOOD MUTUAL WATER CO. #3,6,N,0,0,N,N,N,11.52,0.20%,0.00%
CA1910090,"MONROVIA-CITY, WATER DEPT.",7,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910091,MONTEBELLO LAND & WATER CO.,16,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",9,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910096,SANTA CLARITA VALLEY W.A.-NEWHALL DIV.,3,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910098,GSWC - NORWALK,13,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910099,PARADISE RANCH MHP,4,Y,0,0,N,N,N,61.42,69.50%,0.00%
CA1910101,ORCHARD DALE WATER DISTRICT,2,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910103,PALM RANCH IRRIGATION DIST.,8,N,0,0,N,N,N,21.24,2.10%,0.00%
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,4,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",4,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910108,CITY OF BELL GARDENS,4,N,0,0,N,N,N,17.16,1.00%,0.00%
CA1910117,"MONTEBELLO-CITY, WATER DEPT.",4,N,0,0,N,N,N,1.07,0.00%,0.00%
CA1910125,PICO WD,5,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910127,"COVINA-CITY, WATER DEPT.",1,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA1910130,QUARTZ HILL WATER DIST.,12,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,9,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,11,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,6,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910142,GSWC-SAN DIMAS,10,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",5,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910144,SAN GABRIEL COUNTY WD,8,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",12,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910147,SATIVA WATER SYSTEM,4,N,0,0,N,N,N,18.36,1.50%,0.00%
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",6,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",3,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",18,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910153,SOUTH MONTEBELLO IRRIGATION DIST.,4,Y,0,0,N,N,N,29.24,5.10%,0.00%
CA1910154,CITY OF SOUTH PASADENA,4,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.",10,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910157,SUNNY SLOPE WATER CO.,5,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910158,STERLING MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,47.62,30.10%,0.00%
CA1910159,TRACT 180 MUTUAL WATER CO.,2,Y,0,0,N,N,N,46.01,26.60%,0.00%
CA1910160,TRACT 349 MUTUAL WATER CO.,3,N,0,0,N,N,N,15.67,0.80%,0.00%
CA1910161,LIBERTY UTILITIES - LYNWOOD,5,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910163,VALENCIA HEIGHTS WATER CO.,5,N,0,0,N,N,N,36.17,8.80%,0.00%
CA1910165,VALLEY VIEW MUTUAL WATER CO.,2,N,0,0,N,N,N,37.01,10.00%,0.00%
CA1910166,VALLEY WATER CO.,5,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910167,"VERNON-CITY, WATER DEPT.",9,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910169,WALNUT PARK MUTUAL WATER CO.,4,N,0,0,N,N,N,10.26,0.10%,0.00%
CA1910173,"WHITTIER-CITY, WATER DEPT.",7,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910174,SUBURBAN WATER SYSTEMS-WHITTIER,14,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910185,LOS ANGELES CWWD 36-VAL VERDE,2,N,0,0,N,N,N,24.02,3.40%,0.00%
CA1910186,CAL-AM WATER COMPANY - DUARTE,9,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910189,SAN GABRIEL VALLEY WATER CO.-MONTEBELLO,2,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910191,"NORWALK - CITY, WATER DEPT.",12,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910194,ROWLAND WATER DISTRICT,5,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910195,GSWC - HOLLYDALE,5,N,0,0,N,N,N,29.03,4.90%,0.00%
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,2,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910203,"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM",7,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910204,LOS ANGELES CWWD 29 & 80-MALIBU,2,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,21,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910212,GSWC-SOUTH ARCADIA,8,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910218,LA HABRA HEIGHTS CWD,5,N,0,0,N,N,N,24.29,3.40%,0.00%
CA1910223,GSWC-SOUTH SAN GABRIEL,5,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910225,LAS VIRGENES MWD,3,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA1910234,WALNUT VALLEY WATER DISTRICT,5,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA1910239,"LAKEWOOD - CITY, WATER DEPT.",12,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910241,LIBERTY UTILITIES - MESA CREST,1,N,0,0,N,N,N,35.25,8.20%,No Active Groundwater Wells
CA1910242,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,4,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,3,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910244,GREEN VALLEY CWD,8,Y,0,0,N,N,N,58.03,60.40%,0.00%
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.",3,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910246,LAND PROJECTS MUTUAL WATER CO.,4,Y,0,0,N,N,N,41.10,17.20%,0.00%
CA1910247,SANTA CLARITA VALLEY W.A.-CASTAIC DIV.,6,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910248,LOS ANGELES CWWD 37-ACTON,4,N,0,0,N,N,N,29.94,5.60%,0.00%
CA1910249,WHITE FENCE FARMS MWC NO. 1,3,N,0,0,N,N,N,21.31,2.20%,0.00%
CA1910250,SANTA CLARITA VALLEY W.A.-PINETREE DIV.,5,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910255,SANTA CLARITA VALLEY W.A.-TESORO DIV.,2,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA1910801,FENNER CANYON YOUTH CONSERVATION CAMP,1,Y,0,0,N,N,N,70.96,89.50%,0.00%
CA2000293,MD 46 AHWAHNEE RESORTS,3,Y,0,0,N,N,N,56.72,56.70%,0.00%
CA2000501,BASS LAKE ANNEX 3,2,Y,0,0,N,N,N,62.04,70.90%,0.00%
CA2000502,BASS LAKE HEIGHTS MUTUAL WATER,3,Y,0,0,N,N,N,76.82,96.10%,0.00%
CA2000506,SIERRA LINDA MUTUAL WATER CO,3,Y,0,0,N,N,N,67.75,83.40%,0.00%
CA2000509,CASCADEL MUTUAL WATER SYSTEM,5,N,0,0,N,N,N,34.31,7.30%,0.00%
CA2000511,MD 85 VALETA,1,Y,0,0,N,N,N,81.24,97.80%,100.00%
CA2000512,EAST ACRES MUTUAL WATER COMPANY,1,Y,0,0,N,N,N,62.34,72.00%,100.00%
CA2000521,BROADVIEW TERRACE MUTUAL WATER COMPANY,5,N,0,0,N,N,N,29.11,5.00%,0.00%
CA2000524,SKY ACRES MUTUAL WATER CORP,4,Y,0,0,N,N,N,77.31,96.30%,0.00%
CA2000526,PIKE RANCH MUTUAL WATER CO,1,Y,0,0,N,N,N,69.23,86.50%,0.00%
CA2000527,YOSEMITE FORKS EST MUTUAL,4,Y,0,0,N,N,N,66.07,79.80%,0.00%
CA2000529,BONADELLE RANCHOS MUTUAL WATER,1,Y,0,0,N,N,N,87.53,99.40%,0.00%
CA2000530,CRASS MUTUAL WATER COMPANY,1,Y,0,0,N,N,N,69.89,87.70%,0.00%
CA2000533,SUGAR PINE HOMEOWNERS ASSOC,2,Y,0,0,N,N,N,58.97,63.10%,0.00%
CA2000534,LEISURE ACRES MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,59.70,65.00%,0.00%
CA2000538,CEDAR VALLEY MUTUAL WATER CO,1,Y,0,0,N,N,N,85.69,99.00%,0.00%
CA2000544,MADERA CO MD1-HIDDEN LAKE ESTATES,1,Y,0,0,N,N,N,52.73,44.90%,No Active Groundwater Wells
CA2000549,MD 05 MOUNTAIN RANCHES,2,Y,0,0,N,N,N,48.84,33.30%,0.00%
CA2000551,MD 07 MARINA VIEW HEIGHTS,3,Y,0,0,N,N,N,90.63,99.70%,0.00%
CA2000552,MD 24 TEAFORD MEADOW LAKES,3,Y,0,0,N,N,N,89.14,99.60%,0.00%
CA2000553,MD 28 RIPPERDAN SELF HELP,1,Y,0,0,N,N,N,62.03,70.80%,100.00%
CA2000554,MD 33 FAIRMEAD,2,Y,0,0,N,N,N,62.00,70.70%,100.00%
CA2000557,MD 43 MIAMI CREEK KNOLLS,2,N,0,0,N,N,N,32.97,6.80%,0.00%
CA2000561,MD 08 NORTH FORK WATER SYSTEM,1,Y,0,0,Y,N,N,81.22,97.80%,0.00%
CA2000573,THE VILLAGE,2,Y,0,0,N,N,N,57.75,59.50%,0.00%
CA2000589,MAMMOTH POOL MOBILE HOME PARK,1,Y,0,0,N,N,N,95.89,99.80%,0.00%
CA2000592,TWO TWENTY FOUR MOBILE HOME PK,1,Y,0,0,Y,N,N,69.88,87.60%,0.00%
CA2000593,OAKHURST MOBILE HOME ESTATES,3,N,0,0,N,N,N,37.15,10.10%,0.00%
CA2000595,MADERA MH & RV PARK,1,Y,0,0,N,N,N,64.31,76.50%,100.00%
CA2000605,WHISPERING PINES MHP,2,Y,0,0,N,N,N,65.83,79.00%,0.00%
CA2000608,WILDWOOD MOBILE HOME PK INC,1,Y,0,0,N,N,N,59.18,63.60%,100.00%
CA2000647,JOHN HOVANNISIAN WATER SYSTEM,2,Y,0,0,N,N,N,67.22,82.00%,0.00%
CA2000688,ECCO,3,Y,0,0,N,N,N,73.52,93.60%,0.00%
CA2000690,MD 73 QUARTZ MOUNTAIN,3,Y,0,0,N,N,N,65.33,78.20%,0.00%
CA2000692,MD 95 RANCHOS WEST,2,Y,0,0,N,N,N,43.54,21.80%,100.00%
CA2000724,SA 14 CHUK CHANSE SUBDIVISION,1,Y,0,0,N,N,N,76.74,96.00%,100.00%
CA2000727,MD 36 EASTIN ARCOLA,2,Y,0,0,N,N,N,67.03,81.60%,100.00%
CA2000728,MD 37 LA VINA,2,Y,0,0,N,N,N,52.09,42.90%,100.00%
CA2000729,MADERA CO SA16 SUMNER HILL-WATER SYSTEM,1,Y,0,0,N,N,N,37.00,9.90%,No Active Groundwater Wells
CA2000737,MD 42 STILL MEADOW,2,Y,0,0,N,N,N,55.44,52.80%,0.00%
CA2000757,MD 63 MEADOW SPRINGS RANCH,2,Y,0,0,N,N,N,58.84,62.80%,0.00%
CA2000775,OAK CREEK MOBILE HOME PARK,3,Y,0,0,N,N,N,73.69,93.80%,0.00%
CA2000785,VALLEY TEEN RANCH,1,Y,0,0,N,N,N,86.45,99.20%,100.00%
CA2000800,MARQUEZ RENTAL,1,Y,0,0,N,N,N,67.77,83.50%,100.00%
CA2000828,SHADY OAKS MOBILE HOME PARK LLC,2,Y,0,0,N,N,N,73.27,93.30%,0.00%
CA2000832,SKP PARK OF THE SIERRAS INC,3,Y,0,0,N,N,N,60.31,66.90%,0.00%
CA2000849,MD 60 DILLON ESTATES,1,Y,0,0,N,N,N,65.47,78.50%,0.00%
CA2000851,MD 40 SUNSET RIDGE ESTATES,3,Y,0,0,N,N,N,55.32,52.20%,0.00%
CA2000865,MD 58 SIERRA HIGHLANDS,1,Y,0,0,N,N,N,56.19,54.70%,0.00%
CA2010001,CHOWCHILLA CITY WATER DEPT,6,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,100.00%
CA2010002,CITY OF MADERA,18,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,97.14%
CA2010003,BASS LAKE WATER COMPANY,5,Y,0,1,N,N,N,65.82,79.00%,0.00%
CA2010004,MADERA CO CMD19-PARKWOOD,1,Y,0,0,N,N,N,77.22,96.30%,100.00%
CA2010005,YOSEMITE SPRING PARK UTIL CO,13,Excluded from the Assessment,0,0,N,N,N,53.22,46.60%,0.00%
CA2010006,MADERA CO SA3-PARKSDALE,4,Y,0,0,N,N,N,52.08,42.80%,100.00%
CA2010007,CAL AM - OAKHURST,20,Excluded from the Assessment,0,0,N,N,N,75.79,95.30%,0.00%
CA2010008,MADERA CO MD10A-MADERA RANCHOS,4,Y,0,0,N,N,N,65.08,77.70%,100.00%
CA2010009,BAKMAN WATER-ROLLING HILLS,3,Y,0,0,N,N,N,63.99,75.50%,100.00%
CA2010010,MADERA VALLEY WATER COMPANY,5,Y,0,0,N,N,N,40.29,15.60%,100.00%
CA2010011,MADERA CO SA1-INDIAN LAKES,3,Y,0,0,N,N,N,52.26,43.40%,0.00%
CA2010012,CAL AM - RAYMOND,5,Y,0,0,N,N,N,61.00,68.40%,0.00%
CA2010013,CAL AM - COARSEGOLD,2,Y,0,0,N,N,N,47.49,30.00%,0.00%
CA2010014,CAL AM - GOLDSIDE,6,Y,0,0,N,N,N,52.99,45.80%,0.00%
CA2010016,RIVERSTONE/ROOTCREEK WATER DISTRICT,3,Y,0,0,N,N,N,39.94,15.00%,100.00%
CA2010017,"TESORO VIEJO MASTER MWC, INC.",2,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA2010800,CENTRAL CA WOMENS FACILITY,2,Y,0,0,N,N,N,48.77,33.00%,100.00%
CA2010801,VALLEY STATE PRISON,3,Y,0,0,N,N,N,48.49,32.50%,100.00%
CA2100508,MUIR BEACH COMMUNITY,2,Y,0,0,N,N,N,52.02,42.60%,0.00%
CA2100519,ESTERO MUTUAL,4,Y,0,0,N,N,N,21.37,2.30%,0.00%
CA2100549,BLUE MOUNTAIN CENTER,1,Y,0,0,N,N,N,58.09,60.60%,0.00%
CA2100565,GREEN GULCH FARM,2,Y,0,0,N,N,N,64.51,76.90%,0.00%
CA2100579,NICASIO VALLEY RANCH MUTUAL,2,Y,0,0,N,N,N,52.73,45.00%,0.00%
CA2110001,INVERNESS PUBLIC UTILITY DIST,3,Y,0,0,N,N,N,53.50,47.40%,No Active Groundwater Wells
CA2110003,NORTH MARIN WATER DISTRICT,3,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA2110004,STINSON BEACH COUNTY WTR DIST,11,Excluded from the Assessment,0,0,N,N,N,39.66,14.50%,0.00%
CA2110005,BOLINAS COMMUNITY PUD,3,Y,0,1,N,N,N,47.08,29.20%,No Active Groundwater Wells
CA2110006,NORTH MARIN WD - PT. REYES,3,Y,0,0,N,N,N,46.83,28.50%,0.00%
CA2110007,COAST SPRINGS - CAL. WATER SERVICE (PUC),10,Excluded from the Assessment,0,1,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA2110008,LAWSON S LANDING,3,Y,0,0,N,N,N,62.31,71.80%,0.00%
CA2110350,NPS GGNRA,1,N,0,0,N,N,N,58.70,62.30%,No Active Groundwater Wells
CA2110502,NPS PRNS - BEACHES,2,Y,0,0,N,N,N,50.03,37.10%,0.00%
CA2210001,MARIPOSA PUBLIC UTILITY DIST,6,Y,0,0,N,N,N,34.52,7.60%,0.00%
CA2210002,PONDEROSA BASIN MUTUAL WTR CO,6,Y,0,0,N,N,N,61.15,68.60%,0.00%
CA2210503,YOSEMITE NPS-YOSEMITE VALLEY,3,Y,0,0,N,N,N,38.43,11.90%,0.00%
CA2210510,YOSEMITE NPS-WAWONA,1,Y,0,0,N,N,N,56.08,54.40%,No Active Groundwater Wells
CA2210515,YOSEMITE NPS-EL PORTAL,6,Y,0,0,N,N,N,43.81,22.20%,0.00%
CA2210851,CDF  & FP - MT. BULLION,6,Y,0,0,N,N,N,63.23,73.80%,0.00%
CA2210900,CEDAR LODGE RESORT,8,Y,0,0,N,N,N,76.41,95.80%,0.00%
CA2210901,MPWD-COULTERVILLE CSA 1,1,Y,0,0,N,N,N,61.92,70.50%,0.00%
CA2210903,FISHCAMP MUTUAL WATER COMPANY,4,Y,0,0,N,N,N,53.04,46.10%,0.00%
CA2210905,"MCCLURE BOAT CLUB, INC.",1,Y,0,0,N,N,N,54.17,49.20%,No Active Groundwater Wells
CA2210906,MARIPOSA PINES MUTUAL,2,Y,0,0,N,N,N,60.64,67.70%,0.00%
CA2210921,WHISPERING PINES APARTMENTS,3,Y,0,0,N,N,N,83.41,98.40%,0.00%
CA2210924,YOSEMITE WEST WATER SYSTEM,1,Y,0,0,N,N,N,63.19,73.70%,0.00%
CA2210925,YOSEMITE TERRACE ESTATES,1,Y,0,0,N,N,N,78.91,97.20%,0.00%
CA2300502,ALBION MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,54.76,50.60%,0.00%
CA2300506,MEADOW ESTATES MUTUAL,3,Y,0,0,N,N,N,41.40,17.70%,0.00%
CA2300507,CALPELLA COUNTY WATER DISTRICT,3,N,0,0,N,N,N,13.77,0.50%,0.00%
CA2300514,ELK COUNTY WATER DISTRICT,1,Y,0,0,N,N,N,56.95,57.30%,0.00%
CA2300545,SHORELANDS ROAD & WATER COMPANY,5,Y,0,0,N,N,N,45.54,25.70%,0.00%
CA2300590,SURFWOOD MUTUAL WATER CORPORATION,1,Y,0,0,N,N,N,57.72,59.40%,No Active Groundwater Wells
CA2300591,PINE MOUNTAIN MUTUAL WATER CO.,4,Y,0,0,N,N,N,52.66,44.60%,0.00%
CA2300596,BIG RIVER VISTA MUTUAL WATER COMPANY,1,Y,0,0,N,N,N,47.22,29.50%,0.00%
CA2300604,POINT OF VIEW MUTUAL WATER CO,4,Y,0,0,N,N,N,45.53,25.60%,0.00%
CA2300605,RIVER ESTATES MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,37.23,10.20%,0.00%
CA2300606,LAKE VIEW MUTUAL WATER CO.,4,Y,0,0,N,N,N,38.07,11.40%,0.00%
CA2300609,SEAFAIR ROAD AND WATER COMPANY,6,Y,0,0,N,N,N,47.00,29.10%,0.00%
CA2300610,CASPAR SOUTH SERVICE COMPANY,8,Y,0,0,N,N,N,58.96,63.10%,0.00%
CA2300634,OCEAN'S EDGE ESTATES,3,Y,0,0,N,N,N,42.80,20.40%,0.00%
CA2300638,WILDWOOD CAMPGROUND,3,Y,0,0,N,N,N,75.11,95.00%,0.00%
CA2300644,WOODSIDE RV PARK,5,Y,0,0,N,Y,N,74.85,94.70%,0.00%
CA2300646,BELLA SHORES MOBILE HOME PARK,1,Y,0,0,N,N,N,61.91,70.40%,0.00%
CA2300663,BRANSCOMB MOBILE HOME PARK,1,Y,0,0,N,N,N,52.44,44.00%,No Active Groundwater Wells
CA2300667,"WOODS, THE (MENDOCINO)",1,Y,0,0,N,N,N,62.28,71.80%,0.00%
CA2300668,POINT CABRILLO HIGHLANDS,1,Y,0,0,N,N,N,72.79,92.30%,0.00%
CA2300705,LITTLE LAKE MOBILE HOME PARK,1,Y,0,0,N,N,N,68.26,84.80%,0.00%
CA2300708,RIDGEWOOD WATER SYSTEM,3,Y,0,0,N,N,N,55.19,51.80%,0.00%
CA2300717,CREEKSIDE CABINS & RV RESORT,1,Y,0,0,N,N,N,87.01,99.30%,0.00%
CA2300730,WESTPORT COUNTY WATER DISTRICT,2,Y,0,0,N,N,N,35.28,8.30%,0.00%
CA2300731,"CITY OF 10,000 BUDDHAS",1,Y,0,0,N,N,N,57.06,57.90%,0.00%
CA2300735,HOLLY RANCH VILLAGE,2,Y,0,0,N,N,N,55.59,53.30%,0.00%
CA2300743,DOLPHIN ISLE MARINA,1,Y,0,0,N,N,N,73.22,93.10%,0.00%
CA2300832,HILLS RANCH MUTUAL WATER COMPANY,4,Y,0,0,N,N,N,52.51,44.10%,0.00%
CA2300837,YOKAYO TRIBE OF INDIANS,1,Y,0,0,N,N,N,52.10,42.90%,0.00%
CA2300892,COVELO MOBILE HOME PARK,2,Y,0,0,N,N,N,48.45,32.30%,0.00%
CA2310001,"FORT BRAGG, CITY OF",4,Y,0,0,N,N,N,56.91,57.20%,No Active Groundwater Wells
CA2310002,ROGINA WATER COMPANY INC.,5,Y,0,0,N,N,N,37.48,10.70%,0.00%
CA2310003,"UKIAH, CITY OF",6,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA2310004,"WILLITS, CITY OF",2,Y,0,0,N,N,N,52.79,45.20%,0.00%
CA2310005,WILLOW COUNTY WATER DISTRICT,5,Y,0,0,N,N,N,53.16,46.50%,0.00%
CA2310006,MILLVIEW COUNTY WATER DISTRICT,20,Excluded from the Assessment,0,0,N,N,N,40.65,16.40%,0.00%
CA2310007,NORTH GUALALA WATER COMPANY,4,Y,0,0,N,N,N,52.17,43.10%,0.00%
CA2310008,REDWOOD VALLEY COUNTY WATER DISTRICT,1,Y,0,1,N,N,N,57.68,59.40%,No Active Groundwater Wells
CA2310009,BROOKTRAILS TOWNSHIP CSD,1,Y,0,0,N,N,N,71.70,90.40%,No Active Groundwater Wells
CA2310010,HOPLAND PUBLIC UTILITY DISTRICT,2,Y,0,0,N,N,N,40.64,16.40%,0.00%
CA2310011,LAYTONVILLE COUNTY WATER DISTRICT,2,Y,0,0,N,N,N,43.74,22.10%,0.00%
CA2310012,IRISH BEACH WATER DISTRICT,4,Y,0,0,N,N,N,36.02,8.70%,0.00%
CA2310013,POINT ARENA WATER WORKS,2,Y,0,0,N,N,N,49.58,35.60%,0.00%
CA2400046,BLACK RASCAL WATER COMPANY,2,Y,0,0,N,N,N,51.04,39.90%,100.00%
CA2400053,EL NIDO MOBILE HOME PARK,2,Y,0,0,N,N,N,58.15,60.80%,100.00%
CA2400084,EVERGREEN MOBILE HOME PARK,1,Y,0,0,Y,N,N,61.17,68.80%,100.00%
CA2400128,COUNTRY CLUB COUNTY WD,2,Y,0,0,N,N,N,48.97,33.70%,0.00%
CA2400167,BALLICO CSD,1,Y,0,0,N,N,N,57.92,60.20%,0.00%
CA2400172,JOHN LATORACCA CORRECTIONAL FACILITY,2,Y,0,0,N,N,N,50.25,37.50%,100.00%
CA2400201,VOLTA COMMUNITY SD,1,Y,0,0,N,N,N,85.97,99.10%,100.00%
CA2400209,SAN LUIS HILLS,1,Y,0,0,N,N,N,50.91,39.50%,No Active Groundwater Wells
CA2410001,CITY OF ATWATER,8,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,100.00%
CA2410002,CITY OF DOS PALOS,1,Y,0,0,N,N,N,51.81,41.90%,No Active Groundwater Wells
CA2410003,CITY OF GUSTINE,4,Y,0,0,N,N,N,42.81,20.50%,100.00%
CA2410004,CITY OF LIVINGSTON,9,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,100.00%
CA2410005,CITY OF LOS BANOS,13,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,100.00%
CA2410006,DELHI CWD,4,Y,0,0,N,N,N,38.29,11.70%,0.00%
CA2410007,PLANADA CSD,6,Y,0,0,N,N,N,58.08,60.50%,100.00%
CA2410008,CAL AM - MEADOWBROOK,3,Y,0,0,N,N,N,38.39,11.90%,100.00%
CA2410009,CITY OF MERCED,21,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,100.00%
CA2410010,WINTON WATER & SANITARY DIST,3,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,100.00%
CA2410011,LE GRAND COMM SERVICES DIST,2,Y,0,0,N,N,N,66.84,81.00%,100.00%
CA2410012,HILMAR COUNTY WATER DISTRICT,3,Y,0,0,N,N,N,39.12,13.20%,0.00%
CA2410018,SANTA NELLA COUNTY WATER DISTRICT,2,Y,0,0,N,N,N,34.18,7.10%,100.00%
